05.05.2020,00:00:00,129w,906.00р.,Квитанция Кубань-Кредит,
03.05.2020,11:19:41,51W,1 900.00р.,Онлайн оплата #175,
04.05.2020,09:42:01,76W,2 000.00р.,Онлайн оплата #176,
05.05.2020,10:09:08,M33w,900.00р.,Онлайн оплата #178,
06.05.2020,21:17:25,47W,5 500.00р.,Онлайн оплата #179,
11.05.2020,19:53:19,142w,3 000.00р.,Онлайн оплата #181,
13.05.2020,17:03:59,104W,2 000.00р.,Онлайн оплата #183,
14.05.2020,20:42:44,94W,1 200.00р.,Онлайн оплата #184,
15.05.2020,11:51:18,61W,5 300.00р.,Онлайн оплата #185,
19.05.2020,12:16:11,65W,3 500.00р.,Онлайн оплата #186,
